"%1 Days","%1 Tage"
"%1 of %2 conversations led to an order","%1 von %2 Gesprächen führten zu einer Bestellung"
"%1 of %2 responses contained clarification questions","%1 von %2 Antworten enthielten Rückfragen"
"%1 outgoing messages","%1 ausgehende Nachrichten"
"AI Language Model (LLM)","KI-Sprachmodell (LLM)"
"AI language model that powers the chat. The free module includes Anthropic Claude; the premium module adds Mistral AI (GDPR / EU) and Google Gemini.","KI-Sprachmodell, das den Chat betreibt. Das freie Modul enthält Anthropic Claude; das Premium-Modul ergänzt Mistral AI (DSGVO / EU) und Google Gemini."
"API Calls","API-Aufrufe"
"API Key","API-Schlüssel"
"Action","Aktion"
"Active Provider","Aktiver Provider"
"Add Alias","Alias hinzufügen"
"Add New Alias","Neuen Alias hinzufügen"
"Add item to cart (cart_add_item)","Artikel zum Warenkorb hinzufügen (cart_add_item)"
"Add new shipping address (add_shipping_address)","Neue Lieferadresse hinzufügen (add_shipping_address)"
"Add product to wishlist (wishlist_add_item)","Produkt zur Wunschliste hinzufügen (wishlist_add_item)"
"Admin Integration Token","Admin-Integrations-Token"
"Alias Email","Alias-E-Mail"
"Alias Email Address","Alias-E-Mail-Adresse"
"Alias has been deleted.","Alias wurde gelöscht."
"All conversations for this address (including alias addresses) will be anonymized.","Alle Konversationen dieser Adresse (inkl. Alias-Adressen) werden anonymisiert."
"Allowed Actions (Tool Permissions)","Erlaubte Aktionen (Tool-Berechtigungen)"
"Anonymize Conversation","Konversation anonymisieren"
"Anonymize Data","Daten anonymisieren"
"Apply coupon code (apply_coupon_code)","Gutscheincode einlösen (apply_coupon_code)"
"Approve","Freigeben"
"Approve Conversation","Konversation freigeben"
"Ask customer for PO number via clarification email","Kunden per Klärungs-E-Mail nach Bestellnummer fragen"
"Auto-generate reference number (CC-YYYYMMDDHHIISS-CustomerID)","Referenznummer automatisch generieren (CC-YYYYMMDDHHIISS-KundenID)"
"Avg. per Call","Ø pro Aufruf"
"Base URL","Basis-URL"
"Carrier code and method code joined by underscore, e.g. flatrate_flatrate or freeshipping_freeshipping. Leave empty to use the first available method.","Carrier-Code und Methoden-Code mit Unterstrich verbunden, z. B. flatrate_flatrate oder freeshipping_freeshipping. Leer lassen, um die erste verfügbare Methode zu verwenden."
"Casual (Du)","Locker (Du)"
"Catalog Language","Katalogsprache"
"Change account data (update_account_info)","Kontodaten ändern (update_account_info)"
"Change an order's shipping address (set_order_shipping_address)","Lieferadresse einer Bestellung ändern (set_order_shipping_address)"
"Change cart quantity (cart_update_item)","Warenkorb-Menge ändern (cart_update_item)"
"Channel","Kanal"
"Chat Button Label","Chat-Button-Beschriftung"
"Chat – Conversations","Chat – Konversationen"
"Clarification Rate","Klärungsrate"
"Claude Haiku 4.5 (very fast, very low cost)","Claude Haiku 4.5 (sehr schnell, sehr günstig)"
"Claude Opus 4.7 (powerful, pricier)","Claude Opus 4.7 (leistungsstark, teurer)"
"Claude Sonnet 4.6 (fast, low cost)","Claude Sonnet 4.6 (schnell, günstig)"
"Comma-separated list of attribute codes that will NOT be included in the Pinecone index (embed text and metadata). Enter sensitive fields such as purchase prices or internal notes here. After a change a full re-index is required (bin/magento cc:index:products --force).","Kommagetrennte Liste von Attribut-Codes, die NICHT in den Pinecone-Index (Embed-Text und Metadaten) aufgenommen werden. Sensible Felder wie Einkaufspreise oder interne Notizen hier eintragen. Nach einer Änderung ist ein vollständiger Re-Index erforderlich (bin/magento cc:index:products --force)."
"Completed","Abgeschlossen"
"Conversation #%1","Konversation #%1"
"Conversation ID","Konversations-ID"
"Conversation not found.","Konversation nicht gefunden."
"Conversational Commerce – Customer Email Aliases","Conversational Commerce – Kunden-E-Mail-Aliase"
"Conversational Commerce – Delete Test Data","Conversational Commerce – Testdaten löschen"
"Conversational Commerce – GDPR Data Deletion","Conversational Commerce – DSGVO Datenlöschung"
"Conversion Rate","Konversationsrate"
"Cost (USD)","Kosten (USD)"
"Cost per Message","Kosten pro Nachricht"
"Created","Erstellt"
"Customer","Kunde"
"Customer Email Address","Kunden-E-Mail-Adresse"
"Customer Email Aliases","Kunden-E-Mail-Aliase"
"Customer ID could not be determined.","Kunden-ID konnte nicht ermittelt werden."
"Customer Primary Email","Primäre Kunden-E-Mail"
"Customer account not found.","Kunden-Account nicht gefunden."
"Customer email and alias email address are required.","Kunden-E-Mail und Alias-E-Mail-Adresse sind erforderlich."
"Data for %1 permanently deleted: %2 conversation(s), %3 message(s), %4 usage log(s), %5 alias(es), %6 rejection(s).","Daten für %1 endgültig gelöscht: %2 Konversation(en), %3 Nachricht(en), %4 Usage-Log(s), %5 Alias(e), %6 Ablehnung(en)."
"Delete","Löschen"
"Delete All Conversations for an Email Address","Alle Gespräche einer E-Mail-Adresse löschen"
"Delete Permanently","Endgültig löschen"
"Delete Single Conversation","Einzelne Konversation löschen"
"Delete Test Data","Testdaten löschen"
"Delete Test Data (Hard Delete)","Testdaten löschen (Hard Delete)"
"Delete this alias?","Diesen Alias löschen?"
"Determines whether the assistant addresses the customer formally (Sie) or casually (Du). Affects the salutation and sign-off of all e-mails.","Legt fest, ob der Assistent den Kunden förmlich (Sie) oder locker (Du) anspricht. Wirkt auf Anrede und Verabschiedung aller E-Mails."
"Disabled tools are not offered to the AI assistant at all. The redirect_to_store tool is always active and cannot be disabled.","Deaktivierte Tools werden dem KI-Assistenten gar nicht erst angeboten. Das Tool redirect_to_store ist immer aktiv und kann nicht deaktiviert werden."
"Displayed in the chat header. e.g. ""Chat with us"" or ""Order Assistant""","Wird im Chat-Header angezeigt. z. B. ""Chat with us"" oder ""Bestellassistent""."
"Email address is required.","E-Mail-Adresse ist erforderlich."
"Emails from this address will be treated as coming from the customer above.","E-Mails von dieser Adresse werden als E-Mails des obigen Kunden behandelt."
"Enable Chat","Chat aktivieren"
"Enable Web Chat Widget","Web-Chat-Widget aktivieren"
"Enable stock notification (set_stock_notification)","Lagerbenachrichtigung aktivieren (set_stock_notification)"
"Escalated","Eskaliert"
"Excluded Attributes","Ausgeschlossene Attribute"
"Fast Model (Query Reformulation)","Schnellmodell (Query-Reformulierung)"
"First message shown when the chat opens.","Erste Nachricht, die beim Öffnen des Chats angezeigt wird."
"Form of Address","Ansprache (Anrede)"
"Formal (Sie)","Förmlich (Sie)"
"GDPR – Right to Erasure (Art. 17)","DSGVO – Recht auf Löschung (Art. 17)"
"General","Allgemein"
"Hex color code for the chat header, button and accents. e.g. #1a73e8","Hex-Farbcode für Chat-Header, Button und Akzente. z. B. #1a73e8"
"History Message Max. Characters","History-Nachricht Max. Zeichen"
"History Messages (Query Builder)","History-Nachrichten Query-Builder"
"History Turns (Account / Order Queries)","History-Turns Konto-/Bestellanfragen"
"History Turns (Main Model)","History-Turns Hauptmodell"
"Index Name","Index-Name"
"Invalid alias ID.","Ungültige Alias-ID."
"Invalid connector secret.","Ungültiges Connector-Secret."
"Invalid conversation ID.","Ungültige Konversations-ID."
"LLM Cost by Channel","LLM-Kosten nach Kanal"
"LLM Cost by Model","LLM-Kosten nach Modell"
"LLM Debug Output (WebChat)","LLM-Debug-Ausgabe (WebChat)"
"Label","Bezeichnung"
"Label (optional)","Bezeichnung (optional)"
